here 1
 here 3
here 2
         36639787 function calls (35992064 primitive calls) in 29.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    573/1    0.008    0.000   29.560   29.560 {built-in method builtins.exec}
        1    0.000    0.000   29.560   29.560 Forward_solver.py:1(<module>)
        1    0.041    0.041   26.163   26.163 C2_surface.py:17(plot_tangents)
        2    0.000    0.000   13.853    6.926 pyplot.py:323(show)
        2    0.000    0.000   13.852    6.926 backend_bases.py:3510(show)
        1    0.000    0.000   13.851   13.851 _backend_tk.py:948(mainloop)
        1    0.000    0.000   13.851   13.851 __init__.py:1456(mainloop)
        1    1.914    1.914   13.851   13.851 {method 'mainloop' of '_tkinter.tkapp' objects}
  127/113    0.001    0.000   11.937    0.106 __init__.py:1916(__call__)
       10    0.000    0.000   11.719    1.172 __init__.py:837(callit)
        8    0.000    0.000   11.707    1.463 _backend_tk.py:249(idle_draw)
        8    0.000    0.000   11.707    1.463 backend_tkagg.py:8(draw)
        9    0.000    0.000   11.594    1.288 backend_agg.py:429(draw)
        8    0.000    0.000   11.578    1.447 artist.py:71(draw_wrapper)
  60008/8    0.126    0.000   11.578    1.447 artist.py:32(draw_wrapper)
        8    0.000    0.000   11.578    1.447 figure.py:2786(draw)
     16/8    0.029    0.002   11.538    1.442 image.py:114(_draw_list_compositing_images)
        8    0.021    0.003   11.537    1.442 axes3d.py:377(draw)
     3675    0.043    0.000   10.961    0.003 __init__.py:1413(inner)
     3675    0.298    0.000   10.891    0.003 axes3d.py:2629(quiver)
    58862    0.098    0.000    9.982    0.000 deprecation.py:381(wrapper)
     3676    0.032    0.000    6.291    0.002 axes3d.py:648(auto_scale_xyz)
23025/23017    0.148    0.000    6.162    0.000 {built-in method builtins.sorted}
    29408    0.091    0.000    6.007    0.000 axes3d.py:416(do_3d_projection)
     3676    2.694    0.001    5.765    0.002 axes3d.py:662(autoscale_view)
        8    0.001    0.000    5.115    0.639 _base.py:3013(draw)
    29424    0.036    0.000    4.848    0.000 art3d.py:316(draw)
    29432    0.365    0.000    4.810    0.000 collections.py:360(draw)
       64    0.006    0.000    4.514    0.071 __init__.py:1(<module>)
    29424    0.118    0.000    4.510    0.000 art3d.py:300(do_3d_projection)
    626/8    0.006    0.000    3.420    0.428 <frozen importlib._bootstrap>:1022(_find_and_load)
    621/8    0.004    0.000    3.420    0.427 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    588/8    0.004    0.000    3.414    0.427 <frozen importlib._bootstrap>:664(_load_unlocked)
    523/8    0.004    0.000    3.412    0.427 <frozen importlib._bootstrap_external>:877(exec_module)
    890/8    0.001    0.000    3.399    0.425 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
840882/522488    1.302    0.000    3.327    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   559/38    0.002    0.000    3.094    0.081 {built-in method builtins.__import__}
4603/3831    0.010    0.000    2.951    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    29424    0.110    0.000    2.086    0.000 art3d.py:305(<listcomp>)
    88471    0.316    0.000    1.964    0.000 proj3d.py:164(proj_trans_points)
        1    0.000    0.000    1.824    1.824 C2_surface.py:1(<module>)
    89023    0.073    0.000    1.660    0.000 proj3d.py:139(proj_transform)
     3678    0.025    0.000    1.621    0.000 collections.py:1392(__init__)
     3679    0.060    0.000    1.578    0.000 collections.py:77(__init__)
59056/29528    0.148    0.000    1.542    0.000 transforms.py:2371(frozen)
        1    0.000    0.000    1.541    1.541 Hertzian_dipole.py:1(<module>)
 14972706    1.405    0.000    1.504    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    1.407    1.407 pyplot.py:1(<module>)
37021/25990    0.052    0.000    1.376    0.000 __init__.py:1843(method)
    29432    0.999    0.000    1.343    0.000 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3676    0.069    0.000    1.343    0.000 _base.py:2223(add_collection)
    33126    0.149    0.000    1.334    0.000 collections.py:1448(set_segments)
   112787    0.072    0.000    1.109    0.000 <__array_function__ internals>:177(column_stack)
   105231    0.215    0.000    1.106    0.000 path.py:99(__init__)
2570/2350    0.047    0.000    1.083    0.000 {built-in method builtins.__build_class__}
    89062    0.096    0.000    1.057    0.000 proj3d.py:135(_vec_pad_ones)
      523    0.008    0.000    1.035    0.002 <frozen importlib._bootstrap_external>:950(get_code)
   147824    0.175    0.000    0.949    0.000 transforms.py:1846(frozen)
    33126    0.062    0.000    0.931    0.000 collections.py:1458(<listcomp>)
   112787    0.351    0.000    0.862    0.000 shape_base.py:612(column_stack)
    38304    0.034    0.000    0.839    0.000 inspect.py:3245(signature)
    29424    0.067    0.000    0.831    0.000 art3d.py:307(<listcomp>)
      102    0.001    0.000    0.823    0.008 artist.py:128(_update_set_signature_and_docstring)
    92745    0.068    0.000    0.817    0.000 <__array_function__ internals>:177(ones_like)
      101    0.001    0.000    0.816    0.008 artist.py:104(__init_subclass__)
    38304    0.029    0.000    0.806    0.000 inspect.py:2991(from_callable)
     3691    0.044    0.000    0.783    0.000 artist.py:759(set_clip_path)
67750/38304    0.220    0.000    0.777    0.000 inspect.py:2371(_signature_from_callable)
      523    0.004    0.000    0.762    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.700    0.700 pyplot.py:2300(tight_layout)
        1    0.000    0.000    0.700    0.700 figure.py:3162(tight_layout)
        1    0.000    0.000    0.680    0.680 tight_layout.py:251(get_tight_layout_figure)
        1    0.000    0.000    0.680    0.680 tight_layout.py:19(_auto_adjust_subplotpars)
        1    0.000    0.000    0.679    0.679 axes3d.py:3351(get_tightbbox)
    92745    0.132    0.000    0.679    0.000 numeric.py:219(ones_like)
        1    0.000    0.000    0.667    0.667 figure.py:1(<module>)
     3675    0.256    0.000    0.663    0.000 axes3d.py:2675(calc_arrows)
     3676    0.018    0.000    0.626    0.000 _base.py:3536(set_xbound)
        1    0.023    0.023    0.626    0.626 _base.py:4561(get_tightbbox)
      586    0.617    0.001    0.617    0.001 {method 'read' of '_io.BufferedReader' objects}
     3828    0.011    0.000    0.561    0.000 patches.py:276(get_transform)
    66832    0.080    0.000    0.550    0.000 transforms.py:2508(composite_transform_factory)
256228/150456    0.262    0.000    0.546    0.000 artist.py:290(stale)
      115    0.001    0.000    0.542    0.005 artist.py:1730(kwdoc)
    89031    0.313    0.000    0.532    0.000 proj3d.py:105(_proj_transform_vec)
