         2861753 function calls (2849461 primitive calls) in 64.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    304/1    0.001    0.000   64.299   64.299 {built-in method builtins.exec}
        1    0.000    0.000   64.299   64.299 Matrix_construct_new.py:1(<module>)
        1   58.708   58.708   58.708   58.708 linalg.py:2191(lstsq)
        1    0.005    0.005    4.293    4.293 Matrix_construct_new.py:165(Construct_MAS_system)
        1    0.169    0.169    4.286    4.286 Matrix_construct_new.py:99(construct_matrix)
        6    0.516    0.086    3.610    0.602 Matrix_construct_new.py:54(construct_sub_column)
        6    0.001    0.000    2.410    0.402 Hertzian_dipole.py:100(evaluate_Hertzian_Dipoles_at_points_parallel)
       24    0.000    0.000    2.202    0.092 threading.py:589(wait)
       24    0.001    0.000    2.202    0.092 threading.py:288(wait)
      116    2.201    0.019    2.201    0.019 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    2.196    0.366 pool.py:362(map)
        6    0.000    0.000    2.195    0.366 pool.py:767(get)
        6    0.000    0.000    2.195    0.366 pool.py:764(wait)
       36    0.002    0.000    1.464    0.041 __init__.py:1(<module>)
    372/7    0.002    0.000    1.303    0.186 <frozen importlib._bootstrap>:1022(_find_and_load)
    368/7    0.002    0.000    1.303    0.186 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    351/7    0.002    0.000    1.299    0.186 <frozen importlib._bootstrap>:664(_load_unlocked)
    296/7    0.001    0.000    1.298    0.185 <frozen importlib._bootstrap_external>:877(exec_module)
    528/7    0.001    0.000    1.285    0.184 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   444/18    0.001    0.000    1.184    0.066 {built-in method builtins.__import__}
   586/96    0.001    0.000    1.139    0.012 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.109    1.109 C2_surface.py:1(<module>)
        1    0.000    0.000    1.011    1.011 pyplot.py:1(<module>)
1232/1017    0.019    0.000    0.883    0.001 {built-in method builtins.__build_class__}
      101    0.001    0.000    0.788    0.008 artist.py:128(_update_set_signature_and_docstring)
      100    0.001    0.000    0.782    0.008 artist.py:104(__init_subclass__)
        1    0.000    0.000    0.525    0.525 figure.py:1(<module>)
