construction time 7.632368087768555
solution time 30.442911386489868
         2971872 function calls (2945852 primitive calls) in 41.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    570/1    0.007    0.000   41.278   41.278 {built-in method builtins.exec}
        1    0.006    0.006   41.277   41.277 Forward_solver.py:1(<module>)
        1    0.036    0.036   38.076   38.076 Forward_solver.py:165(Construct_solve_MAS_system)
34352/22803    1.027    0.000   32.477    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000   30.438   30.438 <__array_function__ internals>:177(lstsq)
        1   30.436   30.436   30.437   30.437 linalg.py:2150(lstsq)
        1    0.291    0.291    7.595    7.595 Forward_solver.py:99(construct_matrix)
        6    1.056    0.176    6.488    1.081 Forward_solver.py:54(construct_sub_column)
       10    0.002    0.000    5.493    0.549 Hertzian_dipole.py:100(evaluate_Hertzian_Dipoles_at_points_parallel)
       40    0.000    0.000    4.969    0.124 threading.py:589(wait)
       40    0.001    0.000    4.969    0.124 threading.py:288(wait)
      192    4.968    0.026    4.968    0.026 {method 'acquire' of '_thread.lock' objects}
       10    0.000    0.000    4.959    0.496 pool.py:362(map)
       10    0.000    0.000    4.957    0.496 pool.py:767(get)
       10    0.000    0.000    4.957    0.496 pool.py:764(wait)
       64    0.003    0.000    1.883    0.029 __init__.py:1(<module>)
    626/7    0.004    0.000    1.738    0.248 <frozen importlib._bootstrap>:1022(_find_and_load)
    621/7    0.003    0.000    1.738    0.248 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    587/7    0.003    0.000    1.732    0.247 <frozen importlib._bootstrap>:664(_load_unlocked)
    521/7    0.002    0.000    1.731    0.247 <frozen importlib._bootstrap_external>:877(exec_module)
    885/8    0.001    0.000    1.705    0.213 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   553/34    0.001    0.000    1.541    0.045 {built-in method builtins.__import__}
  877/112    0.002    0.000    1.503    0.013 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.034    0.034    1.448    1.448 Forward_solver.py:273(compute_scattered_field_at_point)
        1    0.000    0.000    1.237    1.237 C2_surface.py:1(<module>)
        1    0.000    0.000    1.119    1.119 pyplot.py:1(<module>)
