0.6731808185577393
         104806 function calls (102071 primitive calls) in 0.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    124/1    0.000    0.000    0.877    0.877 {built-in method builtins.exec}
        1    0.006    0.006    0.877    0.877 testing.py:1(<module>)
        1    0.538    0.538    0.670    0.670 Hertzian_dipole.py:43(evaluate_at_points)
       15    0.001    0.000    0.392    0.026 __init__.py:1(<module>)
    166/1    0.001    0.000    0.170    0.170 <frozen importlib._bootstrap>:1022(_find_and_load)
    166/1    0.001    0.000    0.170    0.170 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    153/1    0.001    0.000    0.168    0.168 <frozen importlib._bootstrap>:664(_load_unlocked)
    123/1    0.000    0.000    0.168    0.168 <frozen importlib._bootstrap_external>:877(exec_module)
    245/1    0.000    0.000    0.164    0.164 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.164    0.164 Hertzian_dipole.py:1(<module>)
   379/10    0.001    0.000    0.157    0.016 {built-in method builtins.__import__}
   255/41    0.001    0.000    0.157    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        2    0.112    0.056    0.112    0.056 shape_base.py:612(column_stack)
        1    0.000    0.000    0.076    0.076 __config__.py:1(<module>)
      163    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      149    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      149    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      275    0.003    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      612    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      612    0.034    0.000    0.034    0.000 {built-in method posix.stat}
        3    0.030    0.010    0.030    0.010 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
  153/148    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.028    0.028 numerictypes.py:1(<module>)
        1    0.000    0.000    0.026    0.026 index_tricks.py:1(<module>)
      123    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       16    0.000    0.000    0.024    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
       16    0.016    0.001    0.024    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
        1    0.000    0.000    0.022    0.022 defmatrix.py:1(<module>)
        1    0.000    0.000    0.022    0.022 overrides.py:1(<module>)
        1    0.000    0.000    0.021    0.021 linalg.py:1(<module>)
        5    0.020    0.004    0.020    0.004 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.000    0.000    0.020    0.007 fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.020    0.020 fromnumeric.py:2177(sum)
        1    0.000    0.000    0.017    0.017 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.015    0.015 py3k.py:1(<module>)
        1    0.000    0.000    0.014    0.014 utils.py:1(<module>)
  191/131    0.000    0.000    0.014    0.000 typing.py:306(inner)
        1    0.000    0.000    0.013    0.013 _pickle.py:1(<module>)
      123    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.012    0.012 platform.py:1(<module>)
      123    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
    16/11    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
    16/11    0.004    0.000    0.012    0.001 {built-in method _imp.exec_dynamic}
      144    0.000    0.000    0.010    0.000 re.py:288(_compile)
       22    0.000    0.000    0.009    0.000 sre_compile.py:783(compile)
       19    0.000    0.000    0.009    0.000 re.py:249(compile)
      317    0.001    0.000    0.009    0.000 overrides.py:142(decorator)
  263/262    0.005    0.000    0.008    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
      123    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 secrets.py:1(<module>)
       54    0.000    0.000    0.006    0.000 typing.py:401(__getitem__)
       54    0.000    0.000    0.006    0.000 typing.py:483(Union)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
        1    0.000    0.000    0.006    0.006 subprocess.py:1(<module>)
       22    0.000    0.000    0.006    0.000 sre_parse.py:944(parse)
      156    0.001    0.000    0.005    0.000 typing.py:1016(__init__)
    64/22    0.000    0.000    0.005    0.000 sre_parse.py:436(_parse_sub)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
    67/24    0.002    0.000    0.005    0.000 sre_parse.py:494(_parse)
      278    0.001    0.000    0.005    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
        1    0.000    0.000    0.004    0.004 reduction.py:1(<module>)
      153    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
      123    0.004    0.000    0.004    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
     1449    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 ntpath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       22    0.000    0.000    0.003    0.000 sre_compile.py:622(_code)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
    45/12    0.000    0.000    0.003    0.000 typing.py:1046(__getitem__)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
      246    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
       51    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      123    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      388    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        7    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:407(__getitem__)
    12622    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1401    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
   137/22    0.001    0.000    0.003    0.000 sre_compile.py:87(_compile)
       39    0.000    0.000    0.003    0.000 typing.py:532(Literal)
      325    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      280    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      252    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
      184    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      199    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
      139    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       27    0.001    0.000    0.002    0.000 typing.py:1323(__class_getitem__)
        9    0.001    0.000    0.002    0.000 enum.py:180(__new__)
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
     4141    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      166    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      554    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1449    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
