         3016217 function calls (3003914 primitive calls) in 37.620 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    305/1    0.004    0.000   37.620   37.620 {built-in method builtins.exec}
        1    0.042    0.042   37.618   37.618 Forward_solver.py:1(<module>)
        1    0.085    0.085   35.797   35.797 Forward_solver.py:9(forward_solver)
        1   20.520   20.520   20.522   20.522 linalg.py:329(solve)
        1    0.018    0.018   15.170   15.170 Matrix_construct.py:28(construct_matrix)
        4    1.866    0.466    9.238    2.309 Matrix_construct.py:7(construct_sub_column)
        4    0.000    0.000    5.652    1.413 Hertzian_dipole.py:82(evaluate_Hertzian_Dipoles_at_points_parallel)
       16    0.000    0.000    5.461    0.341 threading.py:589(wait)
       16    0.000    0.000    5.461    0.341 threading.py:288(wait)
       78    5.460    0.070    5.460    0.070 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    5.456    1.364 pool.py:362(map)
        4    0.000    0.000    5.456    1.364 pool.py:767(get)
        4    0.000    0.000    5.456    1.364 pool.py:764(wait)
      168    5.018    0.030    5.019    0.030 shape_base.py:612(column_stack)
       36    0.002    0.000    2.079    0.058 __init__.py:1(<module>)
    373/6    0.003    0.000    1.789    0.298 <frozen importlib._bootstrap>:1022(_find_and_load)
    369/6    0.002    0.000    1.789    0.298 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    352/6    0.002    0.000    1.785    0.298 <frozen importlib._bootstrap>:664(_load_unlocked)
    297/6    0.002    0.000    1.785    0.297 <frozen importlib._bootstrap_external>:877(exec_module)
    529/6    0.001    0.000    1.774    0.296 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   444/18    0.001    0.000    1.613    0.090 {built-in method builtins.__import__}
   586/96    0.002    0.000    1.566    0.016 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.514    1.514 Matrix_construct.py:1(<module>)
        1    0.000    0.000    1.501    1.501 C2_surface.py:1(<module>)
        1    0.000    0.000    1.392    1.392 pyplot.py:1(<module>)
1232/1017    0.032    0.000    1.225    0.001 {built-in method builtins.__build_class__}
      101    0.002    0.000    1.092    0.011 artist.py:128(_update_set_signature_and_docstring)
      100    0.001    0.000    1.084    0.011 artist.py:104(__init_subclass__)
    38406    0.095    0.000    1.048    0.000 fromnumeric.py:71(_wrapreduction)
    25604    0.052    0.000    0.972    0.000 fromnumeric.py:2177(sum)
    44810    0.905    0.000    0.905    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.898    0.225 Hertzian_dipole.py:69(construct_Hertzian_Dipoles)
        4    0.025    0.006    0.898    0.225 Hertzian_dipole.py:70(<listcomp>)
     6400    0.157    0.000    0.873    0.000 Hertzian_dipole.py:6(__init__)
        1    0.000    0.000    0.752    0.752 figure.py:1(<module>)
        4    0.737    0.184    0.737    0.184 shape_base.py:219(vstack)
