start
halfway
(10000, 5392)
         2949286 function calls (2915701 primitive calls) in 14.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    607/1    0.003    0.000   14.654   14.654 {built-in method builtins.exec}
        1    0.013    0.013   14.654   14.654 Matrix_construct.py:1(<module>)
        1    0.015    0.015   13.104   13.104 Matrix_construct.py:21(construct_matrix)
        4    2.327    0.582   11.852    2.963 Matrix_construct.py:6(construct_sub_column)
        4    0.001    0.000    7.833    1.958 Hertzian_dipole.py:81(evaluate_Hertzian_Dipoles_at_points_parallel)
       16    0.000    0.000    7.224    0.452 threading.py:589(wait)
       16    0.000    0.000    7.224    0.452 threading.py:288(wait)
       78    7.224    0.093    7.224    0.093 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    7.220    1.805 pool.py:362(map)
        4    0.000    0.000    7.220    1.805 pool.py:767(get)
        4    0.000    0.000    7.220    1.805 pool.py:764(wait)
59887/38024    1.371    0.000    2.685    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       34    0.002    0.000    1.761    0.052 __init__.py:1(<module>)
    358/6    0.003    0.000    1.546    0.258 <frozen importlib._bootstrap>:1022(_find_and_load)
    354/6    0.002    0.000    1.545    0.258 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    338/6    0.002    0.000    1.542    0.257 <frozen importlib._bootstrap>:664(_load_unlocked)
    283/6    0.001    0.000    1.542    0.257 <frozen importlib._bootstrap_external>:877(exec_module)
    509/7    0.001    0.000    1.518    0.217 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   404/18    0.001    0.000    1.390    0.077 {built-in method builtins.__import__}
   514/71    0.001    0.000    1.337    0.019 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.288    1.288 C2_surface.py:1(<module>)
      175    0.000    0.000    1.284    0.007 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    1.150    1.150 pyplot.py:1(<module>)
 1208/993    0.021    0.000    0.964    0.001 {built-in method builtins.__build_class__}
    21568    0.035    0.000    0.930    0.000 <__array_function__ internals>:2(sum)
    32388    0.075    0.000    0.917    0.000 fromnumeric.py:69(_wrapreduction)
    21568    0.039    0.000    0.866    0.000 fromnumeric.py:2123(sum)
      101    0.002    0.000    0.842    0.008 artist.py:128(_update_set_signature_and_docstring)
      100    0.001    0.000    0.836    0.008 artist.py:104(__init_subclass__)
    37789    0.804    0.000    0.804    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.758    0.189 <__array_function__ internals>:2(vstack)
        4    0.000    0.000    0.758    0.189 shape_base.py:222(vstack)
        4    0.000    0.000    0.712    0.178 Hertzian_dipole.py:68(construct_Hertzian_Dipoles)
        4    0.021    0.005    0.712    0.178 Hertzian_dipole.py:69(<listcomp>)
     5392    0.118    0.000    0.691    0.000 Hertzian_dipole.py:6(__init__)
