start
halfway
(10000, 5392)
         2949252 function calls (2915667 primitive calls) in 14.204 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    607/1    0.003    0.000   14.205   14.205 {built-in method builtins.exec}
        1    0.063    0.063   14.205   14.205 Matrix_construct.py:1(<module>)
        1    0.024    0.024   12.566   12.566 Matrix_construct.py:21(construct_matrix)
        4    1.760    0.440    9.599    2.400 Matrix_construct.py:6(construct_sub_column)
        4    0.001    0.000    6.392    1.598 Hertzian_dipole.py:81(evaluate_Hertzian_Dipoles_at_points_parallel)
       16    0.000    0.000    6.236    0.390 threading.py:589(wait)
       16    0.000    0.000    6.235    0.390 threading.py:288(wait)
       78    6.235    0.080    6.235    0.080 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    6.232    1.558 pool.py:362(map)
        4    0.000    0.000    6.232    1.558 pool.py:767(get)
        4    0.000    0.000    6.232    1.558 pool.py:764(wait)
59887/38024    3.063    0.000    4.188    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      175    0.000    0.000    2.992    0.017 <__array_function__ internals>:2(concatenate)
      170    0.000    0.000    2.353    0.014 <__array_function__ internals>:2(column_stack)
      170    0.001    0.000    2.353    0.014 shape_base.py:612(column_stack)
       34    0.002    0.000    1.753    0.052 __init__.py:1(<module>)
    358/6    0.002    0.000    1.579    0.263 <frozen importlib._bootstrap>:1022(_find_and_load)
    354/6    0.002    0.000    1.579    0.263 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    338/6    0.002    0.000    1.577    0.263 <frozen importlib._bootstrap>:664(_load_unlocked)
    283/6    0.001    0.000    1.576    0.263 <frozen importlib._bootstrap_external>:877(exec_module)
    509/7    0.001    0.000    1.552    0.222 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   404/18    0.001    0.000    1.427    0.079 {built-in method builtins.__import__}
   514/71    0.001    0.000    1.386    0.020 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.348    1.348 C2_surface.py:1(<module>)
        1    0.000    0.000    1.245    1.245 pyplot.py:1(<module>)
 1208/993    0.021    0.000    1.082    0.001 {built-in method builtins.__build_class__}
      101    0.002    0.000    0.977    0.010 artist.py:128(_update_set_signature_and_docstring)
      100    0.001    0.000    0.970    0.010 artist.py:104(__init_subclass__)
    21568    0.030    0.000    0.805    0.000 <__array_function__ internals>:2(sum)
    32388    0.067    0.000    0.789    0.000 fromnumeric.py:69(_wrapreduction)
    21568    0.035    0.000    0.750    0.000 fromnumeric.py:2123(sum)
    37789    0.689    0.000    0.689    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.685    0.685 figure.py:1(<module>)
      114    0.002    0.000    0.646    0.006 artist.py:1730(kwdoc)
        4    0.000    0.000    0.640    0.160 <__array_function__ internals>:2(vstack)
